waste,items_required,product_type,products_made,difficulty,usefulness_score
old_jeans+zipper,scissors+thread+needle,fashion,tote_bag+pencil_case+makeup_pouch,medium,9
glass_jar+pump_top,glue+paint,utility,soap_dispenser+lotion_bottle,easy,8
egg_carton+soil,water+seeds,gardening,seed_starter_pots+microgreens_tray,easy,9
cardboard_box+lens,glue+knife+tape,gadget,smartphone_projector+magnifier,medium,7
plastic_bottle+zipper,hot_glue+scissors,storage,apple_box+coin_purse,easy,6
old_tshirt+yarn,scissors,home_decor,braided_rug+macrame_wall_hanging,medium,8
toilet_paper_roll+box,glue+wrapping_paper,desk_item,cable_organizer_box+stationery_sorter,easy,8
tin_can+clothespins,glue,utility,candle_holder+small_planter,easy,6
glass_jar+glitter+water,glue+glycerin,decoration,snow_globe+sensory_bottle,easy,5
pallet_wood+screws,drill+saw+sandpaper,furniture,vertical_garden+coffee_table,hard,9
old_sweater+pillow_insert,needle+thread,home_decor,throw_pillow+pet_bed,easy,8
plastic_spoon+mirror,hot_glue+cardboard,decoration,sunburst_mirror+flower_wall_art,medium,7
mason_jar+fairy_lights,tape+paint,lighting,firefly_lantern+night_light,easy,7
wine_cork+board,hot_glue+knife,utility,bulletin_board+hot_pot_coaster,medium,8
old_cd+glass_bauble,scissors+glue,decoration,mosaic_ornament+disco_ball,medium,6
shoe_box+wrapping_paper,glue+scissors,storage,ribbon_dispenser+charging_station,easy,9
tin_can+twine,hot_glue,utility,rustic_pen_holder+cutlery_holder,easy,7
plastic_bottle+spoon,wire+knife,gardening,bird_feeder+seed_dispenser,easy,8
cardboard+led_strip,knife+glue,lighting,geometric_lamp+marquee_letter,medium,8
old_book+knife,glue,utility,secret_safe_box+ring_holder,medium,6
plastic_bag+iron,parchment_paper+scissors,fabric,fused_plastic_tote+waterproof_pouch,hard,8
bottle_cap+magnet,hot_glue+paint,utility,fridge_magnet+mini_pincushion,easy,7
popsicle_stick+glue,paint,toy,miniature_house+puzzle_game,easy,5
cardboard_tube+balloon,tape+confetti,party_supply,confetti_popper+party_horn,easy,6
old_towel+cement,bucket+water,gardening,concrete_planter+garden_sculpture,hard,8
wire_hanger+yarn,pliers+glue,decoration,floral_wreath_base+dream_catcher,medium,7
milk_jug+marker,scissors,utility,dustpan+scooper,easy,9
old_picture_frame+wire,stapler,storage,earring_holder+jewelry_display,easy,8
glass_bottle+yarn,glue_mod_podge,decoration,rustic_vase+table_centerpiece,easy,6
tin_box+candle_wax,wick+double_boiler,home_decor,survival_candle+scented_tin,medium,8
cardboard_box+fabric,spray_adhesive,storage,foldable_storage_bin+drawer_organizer,medium,8
plastic_bottle+broom_stick,scissors+wire,utility,outdoor_broom+cobweb_sweeper,medium,9
old_jeans+stuffing,needle+thread,toy,denim_teddy_bear+dog_chew_toy,medium,6
glass_jar+photo,cooking_oil+dried_flowers,decoration,vintage_photo_display+memory_jar,easy,5
egg_carton+paint,scissors+glue,decoration,artificial_flowers+wreath_decor,easy,6
cardboard+motor+battery,wire+switch,toy,mini_robot+draw_bot,hard,8
tin_can+paint,hammer+nail,lighting,punched_tin_lantern+luminary,medium,7
plastic_spoon+plastic_bottle,hot_glue+led,lighting,artichoke_lamp+pinecone_light,medium,8
old_belt+wood_plank,nails+hammer,furniture,hanging_shelf+wall_display,medium,9
cereal_box+magnet,scissors+glue,utility,magnetic_notepad_holder+fridge_pocket,easy,8
glass_jar+salt+chalk,paper,decoration,colored_sand_art+terrarium,easy,5
paper_cup+string,needle,toy,string_phone+mini_basket,easy,4
bottle_cap+resin,molds,fashion,custom_keychain+pendant,medium,7
cardboard+rubber_band,push_pins+wood_board,toy,pinball_machine+geoboard,medium,7
old_tshirt+scissors,none,fashion,no_sew_tote_bag+fringe_shirt,easy,8
tin_can+wood_peg,hot_glue+rope,gardening,hanging_herb_garden+balcony_planter,medium,8
cardboard_tube+rice,tape+paint,toy,rainmaker_instrument+maraca,easy,5
plastic_bottle+heat_gun,scissors,craft_supply,plastic_string_rope+shrink_charms,hard,8
old_book_pages+wire,glue,decoration,paper_rose+origami_bouquet,medium,6
shoe_box+toilet_roll,glue+paint,toy,hot_wheels_garage+parking_lot,easy,7
pallet_wood+mason_jar,pipe_clamp+screws,storage,bathroom_organizer+makeup_brush_holder,hard,9
broken_crayons+silicone_mold,oven,craft_supply,rainbow_crayons+custom_shaped_crayons,easy,7
old_ladder+wood_planks,paint+nails,furniture,rustic_bookshelf+shoe_rack,medium,9
plastic_jug+led_tea_light,sharpie,decoration,glowing_ghost_decor+halloween_lantern,easy,6
cardboard+foil,glue,gadget,wifi_signal_booster+solar_cooker,medium,8
wine_cork+succulent,knife+soil,gardening,mini_planter+fridge_magnet_garden,easy,7
paper_plate+yarn,hole_punch,craft,dream_catcher+weaving_loom,easy,5
old_tire+rope,hot_glue+wood_circle,furniture,ottoman_seat+garden_table,hard,9
glass_jar+baking_soda,paint+sponge,home_decor,faux_ceramic_vase+textured_pot,easy,8
plastic_fork+yarn,scissors,craft_supply,pom_pom_maker+tassel,easy,6
old_jeans+zipper,scissors+thread+needle,fashion,tote_bag+pencil_case+makeup_pouch,medium,9
glass_jar+pump_top,glue+paint,utility,soap_dispenser+lotion_bottle,easy,8
egg_carton+soil,water+seeds,gardening,seed_starter_pots+microgreens_tray,easy,9
cardboard_box+lens,glue+knife+tape,gadget,smartphone_projector+magnifier,medium,7
plastic_bottle+zipper,hot_glue+scissors,storage,apple_box+coin_purse,easy,6
old_tshirt+yarn,scissors,home_decor,braided_rug+macrame_wall_hanging,medium,8
toilet_paper_roll+box,glue+wrapping_paper,desk_item,cable_organizer_box+stationery_sorter,easy,8
tin_can+clothespins,glue,utility,candle_holder+small_planter,easy,6
glass_jar+glitter+water,glue+glycerin,decoration,snow_globe+sensory_bottle,easy,5
pallet_wood+screws,drill+saw+sandpaper,furniture,vertical_garden+coffee_table,hard,9
old_sweater+pillow_insert,needle+thread,home_decor,throw_pillow+pet_bed,easy,8
plastic_spoon+mirror,hot_glue+cardboard,decoration,sunburst_mirror+flower_wall_art,medium,7
mason_jar+fairy_lights,tape+paint,lighting,firefly_lantern+night_light,easy,7
wine_cork+board,hot_glue+knife,utility,bulletin_board+hot_pot_coaster,medium,8
old_cd+glass_bauble,scissors+glue,decoration,mosaic_ornament+disco_ball,medium,6
shoe_box+wrapping_paper,glue+scissors,storage,ribbon_dispenser+charging_station,easy,9
tin_can+twine,hot_glue,utility,rustic_pen_holder+cutlery_holder,easy,7
plastic_bottle+spoon,wire+knife,gardening,bird_feeder+seed_dispenser,easy,8
cardboard+led_strip,knife+glue,lighting,geometric_lamp+marquee_letter,medium,8
old_book+knife,glue,utility,secret_safe_box+ring_holder,medium,6
plastic_bag+iron,parchment_paper+scissors,fabric,fused_plastic_tote+waterproof_pouch,hard,8
bottle_cap+magnet,hot_glue+paint,utility,fridge_magnet+mini_pincushion,easy,7
popsicle_stick+glue,paint,toy,miniature_house+puzzle_game,easy,5
cardboard_tube+balloon,tape+confetti,party_supply,confetti_popper+party_horn,easy,6
old_towel+cement,bucket+water,gardening,concrete_planter+garden_sculpture,hard,8
wire_hanger+yarn,pliers+glue,decoration,floral_wreath_base+dream_catcher,medium,7
milk_jug+marker,scissors,utility,dustpan+scooper,easy,9
old_picture_frame+wire,stapler,storage,earring_holder+jewelry_display,easy,8
glass_bottle+yarn,glue_mod_podge,decoration,rustic_vase+table_centerpiece,easy,6
tin_box+candle_wax,wick+double_boiler,home_decor,survival_candle+scented_tin,medium,8
cardboard_box+fabric,spray_adhesive,storage,foldable_storage_bin+drawer_organizer,medium,8
plastic_bottle+broom_stick,scissors+wire,utility,outdoor_broom+cobweb_sweeper,medium,9
old_jeans+stuffing,needle+thread,toy,denim_teddy_bear+dog_chew_toy,medium,6
glass_jar+photo,cooking_oil+dried_flowers,decoration,vintage_photo_display+memory_jar,easy,5
egg_carton+paint,scissors+glue,decoration,artificial_flowers+wreath_decor,easy,6
cardboard+motor+battery,wire+switch,toy,mini_robot+draw_bot,hard,8
tin_can+paint,hammer+nail,lighting,punched_tin_lantern+luminary,medium,7
